label	definition	caption
Shatter	The sharp, cracking sound produced by breaking glass or other brittle materials, often accompanied by a tinkling or chinking sound. Typically heard in urban or industrial settings, such as construction sites or glass factories.	
Whistle	A high-pitched, continuous sound produced by blowing air through a small hole or narrow tube, often used for communication or signaling. Commonly heard in outdoor settings, such as parks or beaches, or in transportation settings, such as trains or ships.	
Animal	A wide range of sounds produced by various animals, including vocalizations, footsteps, and other actions. These sounds can vary greatly depending on the species and context, but often involve distinct patterns, rhythms, and pitches. Typically encountered in natural environments, such as forests, grasslands, or wetlands, but can also be heard in urban or suburban settings where animals live or visit.	
Bicycle, tricycle	A two-wheeled or three-wheeled vehicle designed for transportation, characterized by the sound of tires rolling on pavement or gravel, and the occasional clinking of gears.	
Crumpling, crinkling	The sound of paper being folded, creased, or crushed, often accompanied by a faint rustling or crinkling noise. Typically heard in offices, homes, or classrooms.	
Conversation	A verbal exchange between two or more people, characterized by the sound of voices interacting, often with overlapping speech and background noise. Typically heard in social settings, cafes, or public spaces.	
Bark	A loud, sharp, and short vocalization produced by dogs, often used for communication, warning, or expressing excitement.	
Railroad car, train wagon	The resonant, metallic clanging sound produced by the wheels of a railroad car or train wagon, often heard in close proximity to tracks or stations.	
Glass shatter	The sharp, crackling sound produced when glass breaks or shatters, often accompanied by a tinkling or clinking component. Typically heard in settings where glass objects are present, such as homes, restaurants, or construction sites.	
Exhaust brake	The loud, metallic screeching sound produced by the brakes on a vehicle's exhaust system, typically heard when the brakes are applied or released. Often associated with older vehicles or those with faulty exhaust systems.	
Squeak	A short, high-pitched sound produced by the movement of metal against metal or other materials, often heard in door hinges, floorboards, or other mechanical components. Typically associated with older or poorly maintained objects.	
Frying_(food)	The distinct sizzling and popping sound emitted when food is being cooked in hot oil or on a heated surface, typically heard in kitchens or cooking areas, signaling the process of frying.	
Gasp	A sudden, sharp intake of breath accompanied by a sharp sound, often heard when someone is surprised, shocked, or in pain.	
Machinery impact	The loud, sharp sound produced by the collision of two or more metal objects or the impact of machinery on a hard surface, often heard in industrial or construction settings.	
Splinter	A sharp, cracking sound produced by breaking or shattering a hard material, often heard when wood is being cut or when something is being broken apart.	
Silence / background noise only	The absence of audible sound, or the presence of only faint, barely perceptible sounds, typically found in quiet environments or during periods of rest.	
Giggle	Light, high-pitched laughter marked by short, repeated bursts of sound, commonly linked with social gatherings.	
hand_saw	The rhythmic, metallic sound produced by a hand saw as it cuts through wood or other materials, characterized by a distinct sawing motion and varying intensity.	
Tearing	The sound of fabric or paper being torn apart, often accompanied by a slight rustling or crinkling noise, typically heard when someone is tearing something apart by hand.	
street_music	A lively, diverse mix of musical genres performed by street musicians, characterized by its energetic rhythms, rich harmonies, and spontaneous improvisations. Often heard in urban environments like city streets, parks, or festivals.	
Bass guitar	A stringed musical instrument with a deep, resonant sound, typically played with fingers or a plectrum. Distinguished by its thick strings, long neck, and distinctive tone, often used in rock, jazz, and funk music.	
Chainsaw	The powerful, high-pitched roar of a chainsaw, characterized by its rapid, rhythmic cutting action. Often heard in construction sites, forests, or agricultural settings, where trees or vegetation are being cut or trimmed.	
cooking	The distinct sizzling and popping sound emitted when food is being cooked in hot oil or on a heated surface, typically heard in kitchens or cooking areas, signaling the process of frying.	
music-from-uncertain-source	An auditory experience characterized by a blend of various musical elements, often with indistinct or overlapping sounds, typically heard in urban or crowded environments.	
Wild_animals	A diverse range of vocalizations produced by wild animals, including birds, mammals, and reptiles, characterized by unique patterns, pitches, and rhythms, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
washing dishes	The sound of water splashing and dishes clinking as they are washed by hand, typically heard in kitchens or washing areas.	
smoke extractor	The humming or whirring sound produced by a smoke extractor system, which removes smoke and fumes from the air, commonly heard in kitchens or areas with high levels of cooking smoke.	
people talking	The conversational sounds produced by people speaking, characterized by variations in pitch, tone, and rhythm, often heard in social settings, offices, or public spaces.	
Emergency vehicle	A loud, siren-like sound produced by emergency vehicles, often heard in urban or suburban areas during emergencies or accidents.	
announcement_speech	A clear, authoritative voice delivering public or official announcements, often heard in public spaces, such as airports, train stations, or sports arenas.	
motorcycle/engine_accelerating	The high-pitched, revving sound produced by a motorcycle's engine as it accelerates, often heard in urban or rural areas where motorcycles are common.	
motorcycle/wheel_rolling	The rhythmic, metallic sound produced by the rotation of motorcycle wheels on pavement, often accompanied by the roar of the engine.	
wind	The soft, whistling sound generated by the movement of air through trees, grass, or other objects, typically heard outdoors.	
door_wood_knock	The sharp, percussive sound created when a wooden door is knocked, often accompanied by a hollow echo.	
Bathtub_(filling_or_washing)	The sound of water filling or washing a bathtub, characterized by a steady, rhythmic splashing and gurgling noise, often heard in bathrooms during bathing time.	
Wind_chime	The melodic chimes produced by wind blowing through metal or bamboo tubes, characterized by a soft, tinkling sound, often associated with outdoor spaces and gentle breezes.	
wind blowing	The sound of wind blowing through objects, characterized by a soft, rustling noise, often heard in natural environments like forests, deserts, or mountains.	
announcement_jingle	A short, catchy melody played to signal the start of an announcement or advertisement, often heard in radio, television, or public address systems.	
crickets	The rhythmic chirping or singing produced by crickets, characterized by their distinct, high-pitched sounds, often heard in natural environments like forests, parks, or gardens, especially during nighttime.	
rooster	The loud, boisterous crowing of a rooster, typically heard in rural areas or farmyards, serving as a natural alarm clock or announcing the arrival of a new day.	
ringing phone	A high-pitched, electronic sound produced by a telephone when it is ringing, often accompanied by a vibrating sensation on the receiver. Typically heard indoors, in an office or residential setting.	
bus	A large, motorized vehicle designed for transportation of passengers, characterized by its metallic structure, seating, and engine noise. Typically encountered in urban or suburban areas, on designated bus routes.	
glass jingling	The tinkling sound produced by the collision of glass against glass, often heard when opening or closing a door or window with glass panes.	
coffee machine	The rhythmic whirring and grinding sounds produced by a coffee maker, accompanied by the aroma of freshly brewed coffee.	
motorcycle	The roar and rumble of a motorcycle engine, characterized by its distinctive vibration and occasional revving sounds, often heard on busy roads or during races.	
cow	A low, mooing sound produced by cows, often heard in rural areas or farms, typically associated with grazing or giving birth.	
knocking on door	A rhythmic, sharp sound created by someone knocking on a door, often heard in residential or commercial settings, signaling a request or announcement.	
clock_alarm	A loud, piercing sound emitted by a clock or alarm, typically heard in homes or offices, signaling the start of a new day or scheduled event.	
sneezing	A sudden, high-pitched sound produced by the forceful expulsion of air from the nose, often accompanied by a nasal spray. Typically heard in indoor environments like homes, offices, or public spaces.	
male scream	A loud, piercing vocalization characterized by high-pitched shrieks and rapid, rhythmic breathing. Often associated with intense emotions like fear, anger, or excitement. Typically heard in public spaces like sports stadiums, concerts, or movies.	
Hoe ram	A sharp, metallic sound produced by the impact of a hoe on the ground, used for cultivating soil. Typically heard in agricultural settings like fields, gardens, or farms.	
beater	A percussion instrument with a flat, circular head struck with a mallet, producing a sharp, resonant sound. Often used in orchestral or jazz music.	
dishwasher	The rhythmic sound of water and detergent being circulated through a dishwasher, typically heard during the cleaning cycle. Often associated with the sound of dishes being scrubbed and rinsed.	
dog	The vocalizations produced by dogs, characterized by a wide range of tones, pitches, and rhythms. Dogs may bark, growl, yip, howl, or whine, depending on their emotions, intentions, or interactions with their environment.	
bird singing	Melodic vocalizations produced by birds, characterized by unique patterns, pitches, and rhythms, often heard in natural environments like forests, parks, or gardens, especially during early morning or dusk.	
switch	A mechanical device used to control or regulate electrical power, characterized by a clicking or clicking sound when activated or deactivated, typically found in electrical circuits or appliances.	
sea_waves	The rhythmic, crashing sound of waves as they break against the shore, characterized by their continuous ebb and flow, typically heard in coastal areas or near bodies of water.	
water tap	A metallic or plastic device used to control the flow of water from a pipe, characterized by a rhythmic, pulsating sound when water is turned on or off.	
car horn	A loud, high-pitched sound produced by a vehicle, typically used to signal danger, alert others, or attract attention.	
Fill_(with_liquid)	The sound of liquid being poured or added to a container, characterized by a continuous, splashing, or gurgling noise.	
object falling	The sound of an object falling, characterized by its descent and impact, often heard in enclosed spaces like buildings or vehicles.	
Water tap, faucet	The rhythmic sound produced by water flowing through a faucet, typically heard in kitchens or bathrooms.	
crow	The distinctive, cawing vocalizations of crows, often heard in natural environments like forests, parks, or urban areas, especially during early morning or dusk.	
siren	A loud, oscillating wail produced by a siren, often used for warning or alert purposes, typically heard in urban or industrial settings.	
rock-drill	The rhythmic, percussive sound generated by a rock drill, characterized by its high-frequency vibrations and sharp, staccato tones, commonly heard in construction sites or mining operations.	
vacuum cleaner	The suctioning, whirring sound produced by a vacuum cleaner, typically heard while cleaning floors or carpets, often associated with the movement of air and dirt particles.	
Car	A mechanical vehicle powered by an internal combustion engine or an electric motor, characterized by its metallic structure, four wheels, and a cabin enclosing the driver and passengers. Often heard on roads and highways, with its engine humming and tires rolling on the asphalt.	
male speech	Distinctive vocalizations produced by adult males, characterized by variations in pitch, tone, and rhythm, often heard in social settings or public spaces.	
breathing	The rhythmic inhalation and exhalation of air through the nose or mouth, typically heard during sleep, meditation, or physical activity.	
(object) banging	The sharp, reverberating sound produced when an object collides with another object, often heard in construction sites, workshops, or industrial areas.	
Sink_(filling_or_washing)	The sound of water filling or washing a sink, characterized by a steady, rhythmic splashing or gurgling noise. Typically heard in kitchens or bathrooms during the process of washing dishes, hands, or other objects.	
crying baby	The sound of a baby crying, characterized by high-pitched, mournful wails or sobs. Often heard in homes, hospitals, or daycare centers, signaling the baby's emotional state or discomfort.	
car-alarm	The loud, piercing sound emitted by a car alarm, typically triggered by a break-in, theft, or other security breach. Often heard in urban or suburban areas, signaling potential danger or alerting nearby individuals.	
cupboard/wardrobe	A closed compartment or enclosure for storing clothing, kitchenware, or other items, characterized by its wooden or metal construction and hinged doors. Often heard when someone is rummaging through the contents or when doors are being opened and closed.	
chatter	Light, casual conversation between two or more people, characterized by short, rapid exchanges of words and phrases. Often heard in social settings like cafes, parks, or offices.	
piano	A musical instrument consisting of a wooden frame with strings stretched between it and a keyboard, played by striking the keys with the fingers. Often heard in concert halls, music schools, or living rooms, producing a rich, resonant sound.	
wind_blowing	The sound of wind blowing through leaves, grass, or other objects, characterized by a soft, rustling, or whistling quality, often heard outdoors in natural environments.	
music	A collection of melodic and rhythmic sounds produced by musical instruments or voices, characterized by specific patterns, harmonies, and rhythms, often associated with cultural or artistic expression.	
pig	The distinct, low-pitched vocalizations produced by pigs, characterized by grunts, snorts, and squeals, often heard in agricultural settings or rural environments.	
Outside, urban or manmade	The ambient sounds of human-made environments, characterized by a mix of traffic, construction, and other urban noises.	
barking dog	A loud, rhythmic vocalization produced by a dog, characterized by its distinctive pitch and tone, often heard in urban or suburban areas, especially during early morning or evening hours.	
crash	A sudden, sharp sound resulting from the collision of two objects or the impact of an object on a surface, often accompanied by a metallic or glassy resonance. Typically encountered in industrial or construction zones, where heavy machinery or vehicles are in operation.	
Traditional music	A type of music that is passed down through generations, often associated with a particular culture or region, characterized by unique melodies, rhythms, and instruments.	
Goat	A domesticated mammal known for its curved horns, soft fur, and distinctive bleating sound, commonly kept for milk, meat, or companionship.	
Caw	The loud, harsh vocalization produced by a crow, often used for communication, warning, or territorial defense, typically heard in rural or urban environments.	
Canidae, dogs, wolves	A group of mammals characterized by their distinctive barking vocalizations, often heard in packs, forests, or urban areas.	
Cello	A stringed musical instrument with a rich, resonant sound, typically played with a bow and used in orchestras or chamber music.	
Bellow	A loud, resonant sound produced by blowing air through a large, conical tube, often used in brass instruments or as a vocalization.	
Caterwaul	A loud, mournful wail produced by a cat, often heard when it is in pain or distress, typically in a residential or urban environment.	
Jazz	A genre of music characterized by improvisation, complex harmonies, syncopated rhythms, and distinctive instruments like saxophones and trumpets, often heard in nightclubs, bars, or music festivals.	
Bagpipes	A musical instrument that produces sound by the vibration of a bag filled with air and the blowing of air through a set of pipes, often associated with traditional Scottish or Irish culture, typically heard in parades, ceremonies, or cultural events.	
Angry music	Aggressive and intense instrumental music, often characterized by fast tempos, loud dynamics, and dissonant harmonies, commonly associated with anger, frustration, or conflict.	
Bang	A sharp, explosive sound, often produced by the impact of two hard objects or the rapid expansion of gas, commonly heard in gunfire, fireworks, or car accidents.	
Burst, pop	A sudden, sharp sound produced by the release of pressure or energy, often heard in the form of a bursting balloon, popping cork, or cracking ice.	
Battle cry	A loud, intense vocalization used to signal the beginning of a battle or conflict, often characterized by a sharp, resonant tone and a distinct rhythm.	
Fusillade	A rapid, continuous firing of a firearm, producing a loud, staccato sound of gunshots.	
Afrobeat	A lively, percussive music originating from West Africa, characterized by a strong rhythm, intricate melodies, and a blend of traditional and modern instruments, often associated with dance and celebration.	
Cattle, bovinae	Large domesticated mammals known for their distinctive mooing sound, often heard in agricultural areas or ranches.	
Change ringing (campanology)	The art of ringing church bells in a specific pattern to create harmonious melodies, typically performed during church services or special events.	
Chorus effect	An audio processing technique that simulates the sound of a large group of people singing in harmony, often used in music production or live performances.	
Ska	Upbeat, energetic music characterized by its syncopated rhythms, horn sections, and distinctive basslines, often associated with Jamaican and British cultures. Typically heard in lively settings like clubs, festivals, or street parties.	
Disco	Energetic, danceable music featuring repetitive beats, synthesized sounds, and disco-specific instruments like the bass guitar and drum machines, originating in the 1970s. Often heard in nightclubs, discos, or dance parties.	
Classical music	Compositions and performances in the Western art music tradition, characterized by their complex structures, rich harmonies, and expressive melodies. Often heard in concert halls, opera houses, or symphony orchestras.	
Rock music	A genre of popular music characterized by strong, steady beats, distorted electric guitars, and often rebellious lyrics, originating from the United States in the 1950s. Typically heard in rock clubs, concerts, or radio stations dedicated to rock music.	
Bow-wow	A vocalization produced by dogs, characterized by a high-pitched, yipping sound, often used for communication or excitement. Typically heard in dog parks, neighborhoods, or during training sessions.	
Music of Asia	A diverse range of musical styles and genres originating from various countries in Asia, including India, China, Japan, and Indonesia. Often characterized by unique instruments, rhythms, and melodies, reflecting the region's rich cultural heritage. Typically heard in concert halls, festivals, or cultural centers.	
Music of Africa	A diverse range of musical styles and traditions originating from African cultures, characterized by unique rhythms, melodies, and instruments, often associated with spiritual or social gatherings.	
Bluegrass	A genre of folk music originating from the Appalachian region of the United States, characterized by its lively, upbeat tempo, intricate melodies, and use of acoustic instruments like the banjo, fiddle, and guitar.	
Sine wave	A mathematical function representing a periodic waveform with a constant amplitude and a linear phase relationship between its successive cycles, often used in audio processing and synthesis to create smooth, oscillating sounds.	
Busy signal	A repetitive, high-pitched electronic sound indicating that a device is currently engaged in processing a request or is temporarily unavailable.	
Chopping (food)	The rhythmic sound produced by cutting food with a knife or chopping board, characterized by variations in speed and intensity.	
Bee, wasp, etc.	The buzzing or humming sound produced by bees, wasps, and other flying insects, often associated with their activity of collecting nectar or pollinating flowers.	
Air brake	A sharp, high-pitched sound produced by the release of air from a brake system, typically heard in vehicles or trains.	
Choir	A harmonious blend of multiple voices singing together, often in a religious or cultural context.	
Chirp tone	A short, high-pitched sound produced by certain insects or birds, used for communication or attracting mates.	
Middle Eastern music	A genre of music originating from the Middle East, characterized by its rich harmonies, intricate melodies, and percussive rhythms, often featuring instruments like the oud, qanun, and tabla.	
Bird flight, flapping wings	The rhythmic, flapping motion of bird wings as they fly, producing a distinctive, light, and airy sound, often heard in natural environments like forests, parks, or gardens.	
New-age music	A genre of music associated with the New Age movement, characterized by its ethereal, calming, and meditative sounds, often featuring instruments like the flute, harp, and didgeridoo, and incorporating elements of nature and spirituality.	
Independent music	Electronic or acoustic music produced by individual artists or bands, often characterized by unique soundscapes, rhythms, and melodies. Typically encountered in music venues, festivals, or online platforms.	
Arrow	A pointed object designed for shooting or piercing, often made of wood, metal, or plastic. Typically encountered in archery, hunting, or construction.	
Breaking	The sharp, cracking sound produced by breaking objects, such as glass or wood, often accompanied by a tinkling or chirping noise.	
Babbling	A continuous, incoherent stream of words or phrases, often characterized by repetition and lack of structure, typically heard in social settings or during conversations.	
Banjo	The resonant, twangy sound produced by a banjo, often associated with folk music and storytelling, typically heard in outdoor settings or during cultural events.	
Folk music	Traditional melodies and rhythms often associated with specific cultures or regions, characterized by acoustic instruments like guitars, mandolins, or fiddles, and vocal harmonies.	
Hip hop music	Rapid, rhythmic beats and spoken lyrics often accompanied by electronic or acoustic instruments, originating from African American and Latino communities in the United States, characterized by strong basslines and syncopated rhythms.	
Pop music	Catchy, upbeat melodies and lyrics often featuring electronic or acoustic instruments, designed for mass appeal and commercial success, characterized by memorable hooks and danceable beats.	
Beatboxing	A rhythmic vocalization technique that involves creating a variety of percussive sounds using the mouth, tongue, and throat, often accompanied by hand clapping or other percussion instruments. Typically performed in live music settings, such as concerts or open mics.	
Soul music	A genre of African American music characterized by its emotional intensity, expressive vocals, and strong rhythmic foundation. Often associated with themes of struggle, resilience, and spirituality, soul music is commonly heard in churches, clubs, and other social settings.	
Vocal music	A type of music that primarily relies on the human voice to convey its melody, harmony, and rhythm. Encompassing a wide range of styles and genres, vocal music can be performed solo or in groups, and is often associated with cultural and social gatherings.	
Music for children	Upbeat, melodic tunes designed for young listeners, often featuring simple rhythms, catchy melodies, and lyrics that encourage participation and imagination.	
Blues	A genre of African-American music characterized by its distinctive melancholic sound, expressive vocals, and improvisational nature, often associated with themes of struggle, resilience, and emotional depth.	
Artillery fire	The loud, explosive sounds produced by the detonation of artillery shells, characterized by their sharp, staccato rhythm and high-pitched overtones, often heard in military environments or during celebrations.	
Bleat	A high-pitched, short, and rhythmic sound produced by sheep, often heard in rural areas or farms.	
Children playing	The joyful and energetic sounds produced by children engaging in various activities like running, jumping, and shouting, typically heard in playgrounds or parks.	
Music of Latin America	A rich and diverse musical tradition characterized by various genres like salsa, tango, and bossa nova, often featuring percussion instruments and lively rhythms, commonly heard in Latin American neighborhoods or cultural events.	
Country	A genre of music characterized by its distinctive sound, often featuring acoustic instruments like guitars, banjos, and fiddles, and lyrics that tell stories of rural life and love.	
Buzzer	A high-pitched electronic sound used to signal an alarm, alert, or warning, typically heard in commercial or industrial settings.	
Electronic music	A broad range of percussive electronic music produced largely for playback by speakers in live performances or on disc, often produced largely or exclusively for playback by computers and other electronic devices.	
Background music	Soft, ambient music played in the background to create a relaxing atmosphere, often heard in cafes, libraries, or home environments.	
Effects unit	An electronic device used to manipulate and enhance the sound of an instrument or audio recording, characterized by its ability to apply various effects such as reverb, delay, or distortion.	
Christian music	Inspirational and devotional music associated with Christianity, characterized by its uplifting lyrics, melodic tunes, and spiritual themes, often heard in churches, religious gatherings, or personal devotion.	
Rhythm and blues	A genre of African American music characterized by its strong, steady beat, soulful vocals, and improvisation, often associated with urban environments and late-night gatherings.	
Bouncing	The sound of a ball or other object bouncing off a surface, characterized by a repetitive, rhythmic pattern, typically heard in playgrounds, sports courts, or other recreational areas.	
Child singing	The melodic vocalizations produced by children, characterized by their unique vocal range, tone, and expression, often heard in family homes, schools, or children's activities.	
Boing	A short, sharp, metallic sound often heard in electronic devices, toys, or alarms, characterized by a high-pitched frequency and a quick onset and release.	
Biting	The sharp, stinging sensation caused by the contact of teeth on a hard surface, typically described as a sharp, crackling sound, often heard in dental offices or during food preparation.	
Basketball bounce	The rhythmic, bouncing sound produced by a basketball hitting a hard surface, characterized by its distinct echo and reverberation, often heard in sports facilities or outdoor courts.	
Ambient music	Background music characterized by its calming, relaxing, and unobtrusive nature, often featuring subtle, repetitive patterns and a blend of various instruments. Typically heard in quiet environments like cafes, libraries, or home offices.	
Cap gun	The sharp, metallic sound produced by a cap gun, often used in movies, TV shows, or amusement park attractions. Typically heard in enclosed spaces like theaters or amusement park areas, where the sound is used for special effects or entertainment purposes.	
Funk	A genre of music characterized by its strong rhythm, soulful vocals, and distinctive instrumentation, including electric guitars, bass, drums, and horns. Typically heard in nightclubs, bars, or music festivals, where the music is played live or recorded.	
Reggae	A genre of music characterized by its distinctive rhythm, melody, and lyrics, often featuring a strong bassline, skanking rhythm, and Jamaican patois. Typically heard in clubs, festivals, or outdoor gatherings, especially during summer months.	
Belly laugh	A hearty, full-throated laugh originating from the abdominal muscles, characterized by its deep, resonant sound and prolonged duration. Often associated with joy, humor, or camaraderie, typically heard in social settings or during group activities.	
Reversing beeps	A series of short, high-pitched beeps produced by a vehicle's reverse gear, indicating that the driver is backing up. Typically heard in parking lots, driveways, or other confined spaces, signaling the presence of a reversing vehicle.	
Chant	A melodic vocalization characterized by rhythmic repetition of a phrase or song, often associated with religious or cultural practices. Typically heard in places of worship, ceremonies, or cultural events.	
A capella	A vocal ensemble that performs without instrumental accompaniment, characterized by its rich harmonies and intricate vocal arrangements. Often heard in religious or cultural settings, such as churches, mosques, or community centers.	
Tuning fork	A small, metal instrument used to produce a high-pitched sound for tuning musical instruments or as a reference point for pitch.	
Mechanical bell	A device that produces a ringing sound through the vibration of a metal clapper or other mechanism, often used in alarms, notifications, or religious ceremonies.	
Crowing, cock-a-doodle-doo	The loud, distinctive vocalization produced by a rooster, typically heard at dawn or dusk, and often associated with the start of a new day.	
Sanding	The sound of sand being abraded against a surface, characterized by a rough, gritty texture and a consistent rhythm. Often heard during construction or maintenance activities, in areas with loose sand or gravel.	
Gramophone record	The scratchy, melodic sound produced by a vinyl record played on a gramophone, characterized by its warm, rich tones and occasional pops or crackles. Often associated with nostalgia and the golden age of music.	
Power windows, electric windows	The soft, humming sound produced by power windows or electric windows as they open or close, characterized by a steady, rhythmic vibration. Often heard in cars or buildings with automated window systems.	
Lawn mower	A mechanical device used for cutting grass, characterized by a rhythmic, metallic sound produced by the blades rotating against the grass. Typically heard in suburban or rural areas during lawn maintenance.	
Mandolin	A stringed musical instrument with a distinctive, twangy sound, often associated with folk or bluegrass music. Typically played by plucking or strumming the strings, producing a bright, melodic tone.	
Grime music	A subgenre of electronic dance music originating in the UK, characterized by its heavy bass, fast tempo, and distorted, gritty sound. Often associated with urban environments and underground club scenes.	
Owl	A hooting vocalization produced by owls, characterized by its distinct, haunting, and echoic nature, often heard in forests, deserts, or rural areas at night.	
Sound effect	An artificially created or manipulated sound used in movies, TV shows, video games, or other media to enhance the auditory experience, typically produced using digital audio workstations or specialized sound effect libraries.	
Keypress tone	A short, high-pitched sound generated by a computer keyboard when a key is pressed, providing tactile feedback to the user and indicating the action being performed.	
Crockery breaking and smashing	The sharp, crackling sound produced when ceramic dishes or utensils are broken or shattered, often heard in kitchens or dining areas.	
Drone	A low-pitched, humming sound produced by a drone aircraft, typically heard in urban or rural areas during flight.	
Sidetone	A faint, high-pitched sound heard when a telephone receiver is held close to the ear, caused by the electrical current flowing through the wire.	
Quack	A short, high-pitched vocalization produced by ducks, characterized by a distinctive, rhythmic pattern of rising and falling tones, often heard in or near bodies of water.	
Punk rock	A genre of music characterized by its aggressive, rebellious sound, featuring distorted electric guitars, fast-paced drums, and raw, energetic vocals, often associated with youth culture and countercultural movements.	
Brief tone	A short, simple musical note or melody, typically lasting only a few seconds, characterized by a specific pitch, duration, and rhythm, often used as a musical motif or building block in compositions.	
Grunt	A low, guttural vocalization produced by the human vocal tract during physical exertion, characterized by its resonance and rhythmic pattern. Often heard in military training, sports, or construction sites.	
Harmony	A pleasing combination of multiple melodic or harmonic elements, typically produced by two or more instruments or voices. Often associated with music, but can also occur in nature or other acoustic environments.	
Harpsichord	A stringed musical instrument with a keyboard, typically featuring a rich, resonant sound. Often associated with Baroque music, it produces a unique, plucked sound when the strings are struck with a plectrum.	
Cart	A wheeled vehicle designed for transporting goods, typically consisting of a flat bed and a steering mechanism, often heard rolling on pavement or gravel.	
Wood block	A rectangular block of wood, typically used as a musical instrument or for printing, characterized by a resonant, percussive sound when struck or tapped, often heard in music studios or print shops.	
Electronic tuner	An electronic device used to adjust the pitch of musical instruments or vocals, producing a distinct, high-pitched sound when activated, often heard in music studios or vocal training sessions.	
Heart murmur	A rhythmic, pulsating sound produced by the heart, characterized by its soft, muffled quality and low pitch, often heard in the chest or neck. Typically encountered in individuals with heart conditions or during physical exertion.	
Turkey	The distinct, resonant call of a turkey, characterized by its deep, booming tone and repetitive pattern, often heard in rural areas or during Thanksgiving celebrations. The sound is produced by the bird's vocal cords and is used for communication and territorial defense.	
Howl	A mournful, prolonged sound produced by wolves, characterized by its haunting, resonant quality and low pitch, often heard in forests or open spaces at night. The howl serves as a form of communication among wolves, conveying their presence, location, and intentions.	
Snicker	A light, high-pitched laugh characterized by short bursts of sound, often associated with amusement or playfulness. Typically heard in social gatherings or casual conversations.	
Sonic boom	A loud, explosive sound produced by the rapid expansion of air surrounding a supersonic object, such as an aircraft or a rocket. Often heard in open spaces or near airports.	
Orchestra	A group of musicians playing a variety of instruments, producing a rich, harmonious sound. Typically heard in concert halls, theaters, or other performance venues.	
Video game music	A collection of melodies, rhythms, and sound effects designed to enhance the immersive experience of video games, often characterized by their dynamic and engaging nature.	
Sewing machine	A mechanical device used for sewing fabrics, characterized by its rhythmic, repetitive sound produced by the movement of the needle and thread through the fabric.	
Gush	A sudden, forceful flow of liquid or gas, producing a loud, rushing sound, often heard in waterfalls, fountains, or industrial processes involving fluid movement.	
Gobble	A loud, sharp, and short sound produced by birds, especially turkeys, when they are feeding or alarmed.	
Scratch	A sharp, scratching sound made by the claws of animals, such as cats or birds, on various surfaces, like wood or fabric.	
Sad music	A melancholic and somber musical composition, often characterized by slow tempo, minor key, and emotional depth, evoking feelings of sorrow or melancholy.	
Propeller, airscrew	A mechanical device used for generating lift and propulsion in aircraft, characterized by its rotating blades or fans.	
Wheeze	A high-pitched, whistling sound produced by the narrowing and constricting of airways, often heard during breathing or coughing.	
Yak	A low-frequency, resonant sound emitted by certain animals, particularly yaks, characterized by its deep, rumbling tones and occasional bursts of high-pitched vocalizations.	
Roar	A loud, deep, and resonant sound produced by large animals, especially cats, bears, or lions, often associated with aggression or dominance. Typically heard in natural environments like forests, grasslands, or mountains.	
Soundtrack music	Background music composed specifically for a film, television show, or video game, designed to enhance the emotional impact and atmosphere of the content. Often heard in cinemas, theaters, or gaming platforms.	
Power saw, circular saw, table saw	The distinct buzzing or whirring sound generated by electric saws, characterized by their high-frequency vibrations and rapid blade rotation. Typically heard in construction sites, workshops, or woodworking areas, signaling the process of cutting or shaping materials.	
Drum roll	A rhythmic, percussive sound produced by a drum or other percussion instrument, often used to signal the beginning of an event or performance.	
Trap music	A genre of hip hop music characterized by its use of aggressive, dissonant beats, fast tempos, and dark, menacing lyrics, often associated with violence and gang culture.	
Heavy metal	A genre of rock music characterized by its use of distorted electric guitars, powerful drums, and often theatrical vocals, often associated with rebellion, fantasy, and anti-establishment sentiments.	
Theme music	A melodic and rhythmic instrumental composition, often associated with a particular TV show, movie, or event, characterized by its catchy tune and memorable motifs.	
Swing music	A lively and upbeat genre of jazz music, characterized by its syncopated rhythms, swinging bass lines, and improvisational solos, often associated with dance clubs and big band performances.	
Electro	A percussive electronic dance music (EDM) genre, characterized by its repetitive beats, synthesized sounds, and heavy bass lines, often played back at high volume and produced largely for nightclubs, festivals, and raves.	
Didgeridoo	A wind instrument traditionally made from hollowed-out eucalyptus trees, characterized by its distinctive, resonant, and rhythmic sound, often associated with Indigenous Australian cultures.	
Cellphone buzz, vibrating alert	A short, high-pitched sound produced by a cellphone when it receives a notification, call, or text message, typically heard in urban or suburban environments.	
Studio recording	The process of capturing and preserving audio in a controlled environment, often involving microphones, sound interfaces, and digital audio workstations, used in music production, filmmaking, and other creative industries.	
Paper rustling	The gentle, rustling sound produced by the movement of paper, often heard when turning pages in a book or shuffling paper on a desk.	
Surface contact	The soft, tactile sensation created by the interaction of two surfaces, such as skin touching fabric or a footstep on a floor.	
Singing bowl	The resonant, melodic sound produced by a singing bowl, typically made of metal or ceramic, when struck or rubbed with a mallet or fingers.	
Snort	A short, sharp sound produced by the nose when inhaling air through the nostrils, often associated with amusement or annoyance.	
Alto saxophone	A woodwind instrument with a conical bore and a single reed, typically played by blowing air across a mouthpiece and producing sound through the vibration of the reed. Often associated with jazz music.	
Velcro, hook and loop fastener	A fastening system consisting of two strips, one with tiny hooks and the other with small loops, that can be easily attached and detached to various surfaces. Commonly used in clothing, footwear, and medical devices.	
