label	definition
Howl (wind)	A loud, mournful sound produced by wind blowing through a narrow opening or channel, often associated with eerie or foreboding atmospheric conditions.
Thunder	A deep, rumbling sound produced by the rapid expansion of air surrounding a lightning bolt, often accompanied by crackling or booming noises, classified under atmospheric phenomena.
speech	Human vocalizations used for communication, characterized by rhythmic patterns, pitch variations, and distinct phonemes.
Applause	The sound of clapping hands, often used to express appreciation or approval, belonging to the category of human activities or social sounds.
clock_alarm	The loud, repetitive sound produced by a clock, typically signaling the passage of time, classified under man-made sounds.
Trickle, dribble	A continuous, steady sound produced by the flow of liquid over a surface, often characterized by its softness and rhythmic pattern, belonging to the category of natural environmental sounds.
Bird	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
Telephone dialing, DTMF	The sound of a telephone keypad being dialed using Dual Tone Multi-Frequency (DTMF) technology, characterized by a series of short, high-pitched beeps or tones.
Breathing	The rhythmic, inhaling and exhaling sounds produced by the human respiratory system, often heard during sleep or meditation, classified under human biophysical sounds.
Smallenginge	The sound of a small engine, such as a lawnmower or generator, characterized by its steady, humming noise and vibrations, classified under mechanical sounds.
medium-sounding-engine	A medium-pitched, rhythmic sound produced by a vehicle engine, often characterized by its steady hum and occasional vibrations, belonging to the category of transportation-related sounds.
Alarm_bell_ringing	A loud, high-pitched sound produced by an alarm bell, often used to signal danger or an emergency, classified under warning or alert sounds.
vacuum_cleaner	A low-pitched, rhythmic sound produced by a vacuum cleaner, characterized by its suction and movement, categorized as household appliance sounds.
Screeching	A high-pitched, metallic sound often produced by brakes or metal on metal, classified under mechanical sounds.
Bang	A sharp, explosive sound often produced by the impact of two objects or the release of energy, classified under impact sounds.
Baby cry, infant cry	The high-pitched, emotional vocalizations produced by babies or infants, often characterized by their variability and intensity, classified under human vocalizations or emotional expressions.
Tabla	A percussion instrument with a flat, circular surface and metal jingles, producing a sharp, resonant sound when struck.
Inside, public space	A sound produced within an enclosed space, typically characterized by its reverberation and reflections, often found in public buildings or areas.
Domestic sounds	A category of sounds produced within a household or residential setting, typically characterized by their familiarity and repetition, such as footsteps, appliances, and conversations.
Human_voice	The vocalizations produced by humans, characterized by a wide range of pitches, tones, and rhythms, often used for communication, expression, or entertainment.
bus/brakes	The screeching or grinding sound produced by the brakes of a bus or other heavy vehicle, typically used to signal a stop or warning of impending collision.
Cleaning	The sounds produced during cleaning activities, such as the scraping, brushing, or suctioning of surfaces, often characterized by repetitive, rhythmic patterns and varying intensity.
Running_water	The continuous, rhythmic sound of water flowing over rocks or stones, often characterized by its soothing and calming qualities, belonging to the category of natural environmental sounds.
Glass breaking	The sharp, cracking sound produced when glass is shattered or broken, often accompanied by a ringing or tinkling noise, classified under man-made sounds.
Beatboxing	The percussive sounds produced by a person using their mouth, hands, or other body parts to create rhythmic patterns and beats, often used in music or dance, categorized as human activities or music-related sounds.
Tambourine	A handheld percussion instrument with metal jingles that produce a bright, metallic sound when shaken, classified under musical instruments.
Doorbell	A device that produces a ringing or dinging sound when pressed, used to announce someone's arrival or to signal a change in the room's occupancy, categorized under household sounds.
Arrow	A pointed projectile used for hunting or warfare, characterized by its sharp sound when it hits a target or when it is drawn from a bow, classified under weaponry sounds.
Screaming	A loud, high-pitched vocalization often characterized by rapid, repeated bursts of sound, often associated with strong emotions or distress.
Giggle	A light, high-pitched laughter often characterized by short, repeated bursts of sound, often used for secretive communication or creating an intimate atmosphere.
Whispering	A soft, hushed vocalization produced with minimal breath and mouth movements, often used for secretive communication or creating an intimate atmosphere, belonging to human communication sounds.
other-unknown-human-voice	An unidentifiable human voice, often characterized by its pitch, tone, and rhythm, belonging to the category of human vocalizations.
crow	The distinctive, cawing vocalizations produced by crows, often characterized by their rhythmic, repetitive patterns, belonging to the category of animal vocalizations.
Gurgling	The bubbling or gushing sound produced by liquid moving through a confined space, such as water flowing through a narrow passage or the stomach rumbling, classified under liquid or fluid movement sounds.
Drawer_open_or_close	The sound of a drawer opening or closing, characterized by a sharp, metallic clang or a soft, wooden creak, depending on the type of drawer and its condition.
Water tap, faucet	The continuous, rhythmic sound of water flowing from a faucet, often characterized by its pitch and intensity, belonging to the category of household appliances.
male scream	The loud, high-pitched vocalizations produced by a male, often characterized by their intensity and duration, classified under human vocalizations or emotional expressions.
Frog	The croaking sound produced by frogs, characterized by its high-pitched, rhythmic, and pulsating nature, often used as a natural soundscape element.
Wild animals	The diverse range of sounds produced by wild animals, including calls, songs, and alarms, often used as indicators of biodiversity and ecological health.
Vehicle_horn_and_car_horn_and_honking	The loud, high-pitched sound produced by a vehicle horn, often used to signal its presence or warning of danger, classified under transportation-related sounds.
Shout	The loud, high-pitched vocalizations produced by a person, often used for communication or expression, categorized under human vocalizations or emotional expressions.
crackling_fire	The sound produced by burning wood or other materials, characterized by its crackling, popping, and snapping noises, often associated with fireplaces or campfires, classified under natural environmental sounds.
Stream, river	A continuous flow of water over a surface, often characterized by its sound, which can range from gentle babbling to loud rushing.
Sine wave	A type of sound wave characterized by its regular, oscillating pattern, often used in music and audio processing.
Alert signal	A short, high-pitched sound used to signal danger or warning, often used in emergency situations.
Power_tool	A mechanical device used for cutting, drilling, or sanding, characterized by its high-pitched, rhythmic sound, often associated with construction or DIY activities.
Vacuum_cleaner	A cleaning device that uses suction to remove dirt and debris from floors, characterized by its low-pitched, humming sound, often associated with household chores.
Drum kit	A collection of percussion instruments, typically consisting of drums, cymbals, and other percussion instruments, used in music and other audio events, classified under musical instruments.
Harp	A stringed musical instrument, characterized by its plucked strings and distinctive sound, often used in folk and classical music, classified under musical instruments.
Vehicle	A mechanical device designed for transportation, characterized by its movement and sound, including the engine noise and other sounds produced during operation, classified under transportation-related sounds.
Brass_instrument	A musical instrument made of brass, producing a rich, resonant sound through the vibration of the player's lips against a cup-shaped or funnel-shaped mouthpiece.
Plucked_string_instrument	A musical instrument that produces sound by plucking the strings with the fingers, typically featuring a long neck and a flat body, such as a guitar or a harp.
train	The continuous, rhythmic sound produced by the wheels of a train moving on tracks, often accompanied by braking or whistling sounds, classified under transportation-related sounds.
Gears	The metallic grinding or whirring sound produced by the movement of gears, often heard in machinery or vehicles, categorized under mechanical sounds.
Crack	The sharp, sudden sound produced by the breaking of a surface or material, often accompanied by a popping or snapping noise, classified under impact-related sounds.
other-unknown-alert-signal	A sudden, high-pitched sound used to alert people to an unknown or imminent danger, often characterized by its abrupt onset and short duration.
music	A form of auditory art characterized by its organized sound patterns, often involving melody, harmony, and rhythm, and typically produced for human enjoyment or cultural expression.
Livestock_and_farm_animals_and_working_animals	A category of animal-related sounds produced by domesticated animals used for agriculture or work, such as cows mooing, sheep bleating, and horses whinnying.
children voices	The high-pitched vocalizations produced by children, often characterized by their playful and innocent tone, belonging to the category of human vocalizations.
bus/wheel_rolling	The rhythmic sound produced by the movement of buses or wheels on a road, characterized by its repetition and intensity, classified under transportation-related sounds.
Snare_drum	The sharp, cracking sound produced by a snare drum, often used in percussion music to create a rhythmic accent, belonging to the category of musical instruments.
stationary-music	A continuous, rhythmic sound produced by a musical instrument or device, often characterized by its pitch and tempo, belonging to the category of music and sound production.
Frying (food)	The sizzling sound produced by food cooking, characterized by rapid, popping noises, typically associated with kitchen or culinary sounds.
Electric shaver, electric razor	The humming or buzzing sound produced by an electric shaver or razor, often characterized by its intensity and rhythm, belonging to the category of personal grooming and household appliances.
Ratchet_and_pawl	A metallic clicking sound produced by a ratchet and pawl mechanism, often used in mechanical devices such as clocks and watches.
Scratching (performance technique)	A percussive sound produced by rubbing a finger or plectrum against a stringed instrument, typically used in rock and metal music.
car_horn	A loud, high-pitched sound produced by a car horn, often used to signal danger or attract attention.
Ambient music	Background music characterized by its calming, relaxing, and often unobtrusive nature, often used to create a specific mood or atmosphere.
engine-of-uncertain-size	The sound produced by an engine, characterized by its rhythmic, pulsating nature and varying intensity, often used to indicate the presence of machinery or vehicles.
car/wheel_rolling	The sound produced by the movement of car wheels on a surface, characterized by its rhythmic, repetitive nature and varying intensity, often used to indicate the presence of vehicles on the road.
people talking	The conversational sounds produced by humans, characterized by their rhythmic, tonal, and linguistic features, belonging to the category of human communication sounds.
brakes_squeaking	The metallic, high-pitched sound produced by the friction of brake pads against brake rotors, typically associated with vehicle braking sounds.
Whoosh_and_swoosh_and_swish	The continuous, rhythmic sound produced by the movement of air over a surface, such as a door or window, characterized by its soft, breathy quality, belonging to the category of environmental sounds.
bus	'A large vehicle with a motor and wheels, used for transportation, characterized by its engine noise and the sound of brakes and tires on the road.'
Burping_and_eructation	'The sound produced by the expulsion of gas from the stomach, characterized by a gurgling or burping noise.'
Singing	'The human vocalization characterized by rhythmic, melodic tones, often accompanied by lyrics, belonging to the category of human vocalizations or music sounds.'
Sawing	The rhythmic, metallic sound produced by the movement of a saw blade through wood or other materials, often characterized by a repetitive, oscillating pattern.
Car crash	The loud, sudden, and chaotic sound produced by the collision of two vehicles, often accompanied by crunching, grinding, and screeching noises.
Fixed-wing aircraft, airplane	The steady, humming sound produced by the engines of a fixed-wing aircraft, often characterized by a low-frequency rumble and occasional vibrations.
children_playing	The joyful and energetic sounds produced by children playing, often characterized by laughter, shouts, and clapping, belonging to the category of human activities or social sounds.
Car alarm	The loud, piercing sound produced by a car alarm, often triggered by a break-in or theft, classified under transportation-related sounds.
truck	The rumbling and vibrating sounds produced by a truck, often characterized by its engine and brakes, categorized as transportation-related sounds.
Cupboard open or close	The sound of a cupboard door opening or closing, characterized by a distinct click or clangor, often accompanied by a slight creaking sound, belonging to the category of household sounds.
Train wheels squealing	The high-pitched, metallic sound produced by the friction of train wheels on rails, often accompanied by a rhythmic clacking or clicking noise, classified under transportation-related sounds.
Zipper (clothing)	The sound of a zipper being pulled or released, characterized by a distinct snap or pop, often accompanied by a slight rustling sound, belonging to the category of clothing-related sounds.
Child speech, kid speaking	The high-pitched, melodious vocalizations produced by children, often characterized by their unique intonation and rhythm, belonging to the category of human vocalizations.
Acoustic guitar	The resonant, twangy sound produced by the strings of an acoustic guitar, often used in various genres of music, classified under musical instruments.
Hair dryer	The humming, high-pitched sound produced by a hair dryer, often characterized by its intensity and white noise-like qualities, classified under household appliances.
ice-cream-truck	A loud, jingling sound produced by a truck selling ice cream, often accompanied by a chime or a recorded jingle, classified under commercial sounds.
Buzzer	A high-pitched, electronic sound produced by a device to alert or signal, often used in security systems or appliances, categorized under electronic sounds.
Reverse beeper	A loud, warning sound produced by a vehicle's reverse lights, often used to alert pedestrians or other drivers of the vehicle's reverse movement, classified under transportation-related sounds.
Mechanical_fan	A mechanical device that produces a continuous, rhythmic sound characterized by a low pitch and steady rhythm, often used for cooling or ventilation.
Crow	The distinctive, cawing vocalizations produced by crows, often characterized by their loudness, rhythm, and distinctive pitch.
Strum	The sound produced by rapidly plucking or strumming a stringed instrument, often characterized by its rhythm, pitch, and timbre.
Basketball bounce	The sharp, high-pitched sound produced when a basketball hits a hard surface, often accompanied by a bouncing or ricocheting effect, classified under sports-related sounds.
Cowbell	The loud, metallic sound produced by striking a cowbell, often used to signal or announce something, categorized under percussion instruments or musical sounds.
Guitar	The rich, resonant sound produced by strumming or plucking the strings of a guitar, often characterized by its distinct timbre and rhythm, classified under stringed instruments or musical sounds.
Purr	A low, rumbling sound produced by a cat, often associated with contentment or relaxation, classified under animal-related sounds.
Independent music	A type of music that is not part of a larger musical composition or genre, often characterized by its unique rhythm, melody, and harmony, classified under music-related sounds.
Finger snapping	The sharp, percussive sound produced by snapping one's fingers together, often used as a rhythmic accompaniment or signal.
Fixed-wing_aircraft_and_airplane	The continuous, humming sound produced by the engines of fixed-wing aircraft and airplanes, often accompanied by the flapping of wings and other aircraft-related sounds.
Walk, footsteps	The rhythmic sounds made by the impact of feet on a surface while walking or running, varying in speed, intensity, and pattern, categorized as human activities or movement sounds.
Sink (filling or washing)	The sound of water filling or washing a sink, characterized by its rhythmic splashing and gurgling, often accompanied by the sound of water flowing in and out of the sink, categorized as household sounds.
gunshot	A sharp, explosive sound produced by the discharge of a firearm, often accompanied by a high-pitched echo.
dishwasher	The rhythmic, mechanical sound produced by a dishwasher as it cleans dishes, characterized by its repetitive pattern and white noise-like qualities.
Music of Africa	A diverse range of musical styles and traditions originating from Africa, characterized by their unique rhythms, melodies, and instruments, often associated with cultural and spiritual expressions.
Shouting	The loud, high-pitched vocalizations produced by a person speaking loudly, often characterized by their intensity and emotional expression, belonging to the category of human vocalizations.
Large engine	A loud, rumbling sound produced by a large internal combustion engine, often associated with heavy vehicles or machinery.
hoe-ram	The rhythmic, percussive sound produced by a hoe-ram tool while working the soil, belonging to the category of agricultural sounds.
Christian music	The uplifting, melodic vocalizations and instrumental tones associated with Christian religious practices, often characterized by their emotional intensity and spiritual themes, classified under religious music.
male speech	The distinct vocalizations produced by male individuals, characterized by their pitch, tone, and rhythm, often used for communication or expression of emotions, categorized under human vocalizations.
drilling	A rhythmic, high-pitched sound produced by a drill bit rotating against a hard surface, often associated with construction or DIY projects.
dog	The barking, growling, or yipping vocalizations produced by a dog, often used for communication, protection, or play.
siren	A loud, oscillating wail produced by a siren, often used for warning or alerting purposes, such as in emergency situations or traffic control.
television	The sound of a television program, often characterized by its background noise and occasional sound effects.
truck/wheel_rolling	The rhythmic sound of truck wheels rolling on a paved surface, often accompanied by the rumble of the engine.
street_music	The diverse range of sounds produced by street musicians, including instruments, vocals, and percussion, often creating a lively and energetic atmosphere.
Mallet percussion	The sharp, metallic sounds produced by striking a mallet against a hard surface, often used in orchestral music or percussion ensembles, classified under musical instruments.
bus/engine_accelerating	The gradual increase in speed and pitch of a bus or engine, characterized by a rhythmic, pulsating sound, classified under transportation-related sounds.
sheep	The distinct, low-pitched vocalizations produced by sheep, often characterized by their rhythmic, repetitive nature, belonging to the category of animal sounds.
car-alarm	The loud, high-pitched sound produced by a car alarm, often triggered by a door opening or a motion sensor, classified under transportation-related sounds.
window	A sound produced by the movement of air through a window, characterized by its high-pitched, whistling quality and often accompanied by a soft rustling sound.
insects	A diverse group of small, air-breathing animals characterized by their wings, antennae, and segmented bodies, producing a wide range of sounds, including buzzing, chirping, and clicking.
Music of Asia	A rich and diverse musical tradition originating from various countries in Asia, characterized by its unique melodies, rhythms, and instruments, often featuring percussion, strings, and vocals.
cutlery and dishes	The clinking and clattering sounds produced by cutlery and dishes, often characterized by their metallic and ceramic tones, classified under kitchen or culinary sounds.
cow	The low, mooing sound produced by cows, often characterized by its rhythmic and resonant qualities, classified under animal sounds.
washing dishes	The rhythmic sounds made by the impact of water and soap on dishes while washing, often characterized by their splashing and scraping qualities, classified under kitchen or culinary sounds.
bird singing	The melodious vocalizations produced by birds, often characterized by distinct patterns, pitches, and rhythms, belonging to the category of natural environmental sounds.
chatter	The light, high-pitched vocalizations produced by people engaged in conversation, characterized by short, repeated bursts of sound, falling under human communication sounds.
small-sounding-engine	The high-pitched, rapid sounds produced by a small engine, typically associated with transportation-related sounds.
water tap	The sound of water flowing from a faucet, characterized by its rhythmic, steady pattern and low pitch.
cupboard/wardrobe	The sound of doors opening and closing, characterized by its metallic clangor and short duration, typically associated with household sounds.
people walking	The rhythmic sounds produced by the impact of feet on a surface while walking or running, varying in speed, intensity, and pattern, categorized as human activities or movement sounds.
washing machine	The continuous, rhythmic sound produced by the movement of water and detergent through a washing machine, often characterized by its intensity and white noise-like qualities, classified under household appliances.
cat	The soft, melodious vocalizations produced by cats, often characterized by their distinct purring sound, falling under animal vocalizations or emotional expressions.
(object) rustling	The sound of an object moving or shaking, characterized by a soft, continuous rustling or shuffling noise.
cutlery	The clinking or clattering sounds produced by cutlery, often accompanied by the sound of dishes clinking or scraping against each other, classified under kitchen or culinary sounds.
car/engine_idling	The steady, low hum or buzz produced by a car engine when it is running at idle, often accompanied by the sound of the exhaust pipe, classified under transportation-related sounds.
amplified-speech	The amplified sound of human speech, often used in public events or broadcasts, characterized by its clarity and volume.
people speaking	The natural sound of human speech, often characterized by its rhythm, intonation, and language-specific features, belonging to the category of human communication sounds.
rooster	The distinct, crowing sound produced by a rooster, often used as an alarm or to announce the start of a new day, classified under animal sounds.
offscreen	The faint, distant sound of a film or television show playing in the background, often characterized by its low volume and muffled quality, belonging to the category of ambient sounds.
running engine	The continuous, rhythmic sound produced by a vehicle's engine while it is running, often characterized by its intensity and mechanical nature, classified under transportation-related sounds.
mobile-music	The music played on a mobile device, often characterized by its high volume and variety of genres, categorized as personal music or entertainment sounds.
hand_saw	The sound produced by a hand saw as it cuts through wood, characterized by a rhythmic, sawing motion and a distinct, metallic tone.
female scream	The loud, high-pitched vocalization produced by a female, often associated with fear, anger, or excitement.
metro leaving	The continuous, rumbling sound produced by a metro train as it departs from a station, often accompanied by braking and door sounds.
motorcycle	A two-wheeled vehicle with an internal combustion engine, producing a distinctive roaring sound and vibrations.
beater	A handheld percussion instrument, typically made of wood or metal, producing a sharp, staccato sound when struck.
person-or-small-group-talking	The sounds produced by human speech, characterized by rhythmic patterns of vocalizations and pauses, often accompanied by background noise.
can_opening	The metallic sound produced by opening a can, characterized by a sharp, high-pitched tone and a short duration, belonging to the category of man-made sounds.
cupboard	The sound of items clinking or rattling inside a cupboard, often characterized by a soft, repetitive rhythm, belonging to the category of household sounds.
dog_barking	The loud, high-pitched vocalizations produced by dogs, often characterized by distinct patterns and rhythms, belonging to the category of animal vocalizations.
dog-barking-whining	The high-pitched, whining vocalizations produced by dogs, often used for communication or warning.
clapping	The sharp, rhythmic sounds produced by clapping hands, often used for applause or celebration.
motorcycle/brakes	The screeching sound produced by the brakes of a motorcycle, often used for warning or alerting drivers.
glassbreak	The sharp, cracking sound produced by breaking glass, often accompanied by a ringing or chiming tone, classified under man-made sounds.
Squeal	A high-pitched, sharp sound often produced by animals, such as pigs or cows, when they are excited or in pain.
Harmony	A pleasing combination of two or more musical notes played simultaneously, often resulting in a melodic and harmonious sound.
Bassline	The underlying rhythmic pattern in a piece of music, typically played by a bass instrument or synthesizer, providing a foundation for the rest of the song.
Drum machine	An electronic device used to simulate the sound of drums, often used in electronic music production.
Cumbia	A traditional Latin American dance and music genre characterized by its lively rhythm and syncopated beats.
Other sourceless	A category of sounds that do not have a clear or identifiable source, such as electronic or synthetic sounds, often used in experimental or avant-garde music.
Clip-clop	The rhythmic, metallic sound produced by the striking of two hard objects together, often associated with horse-drawn carriages or clocks.
Wood block	The resonant, percussive sound produced by striking a wooden block with a mallet or other hard object, often used in percussion instruments or as a rhythmic element in music.
Slap, smack	The sharp, percussive sound produced by striking a surface with an open hand, often used as a rhythmic element in music or to signal attention.
Video game music	The instrumental or vocal compositions used in video games, often characterized by their catchy melodies, dynamic changes, and emotional intensity, belonging to the category of music and sound effects.
Electric piano	The sound produced by an electronic instrument that simulates the sound of an acoustic piano, often characterized by its bright, twangy tone and versatile range, categorized as electronic instruments.
Carnatic music	The classical music of South India, characterized by its melodic improvisation, rhythmic complexity, and use of ragas (melodic frameworks), belonging to the category of traditional music and cultural sounds.
Honk	A short, sharp, and high-pitched sound produced by a car horn, often used to signal its presence or warning.
Rhodes piano	A percussion instrument with a metallic, resonant sound, characterized by its ability to produce a wide range of notes and tones.
Jingle, tinkle	A short, melodic, and high-pitched sound produced by metal chimes or bells, often used in advertising or as a signal.
Dance music	A genre of electronic music produced largely for nightclubs, festivals, and raves, characterized by repetitive beats and synthesized sounds, often produced largely for playback by DJs who create seamless selections of tracks, called a mix, by segueing from one recording to another.
Heavy metal	A subgenre of rock music characterized by its use of distorted electric guitars, heavy bass guitar, drums, and vocals that are often characterized by their intensity and aggression.
Saxophone	A woodwind instrument with a single reed and a conical bore, played by blowing air across a reed to produce sound. It is commonly used in jazz music and has a distinctive, mellow tone.
Clicking	A short, sharp, rhythmic sound produced by the impact of a hard surface or object, often associated with electronic devices or machinery.
House music	A genre of electronic dance music (EDM) characterized by its repetitive beats, synthesized sounds, and bass-heavy production, often played in nightclubs or festivals.
Oink	A short, high-pitched vocalization produced by a pig, typically used for communication or expressing excitement or contentment.
Soca music	A genre of music originating from Trinidad and Tobago, characterized by its lively, upbeat rhythm and use of brass instruments, often associated with carnival celebrations.
Jingle (music)	A short, catchy tune or melody used to promote a product or service, typically played on radio or television.
Roll	A sound produced by the movement of a wheel or other object, often characterized by a rhythmic, repetitive pattern, such as the sound of car tires on a road or the turning of a drum.
Tubular bells	A set of eight metal bells, each with a different pitch, that produce a melodic, chiming sound when struck, often used in orchestral music and film scores.
Maraca	A percussion instrument made of a hollow gourd or calabash, filled with seeds or beads, that produces a rhythmic, shaking sound when shaken or struck, often used in Latin American music and dance.
Kuduro	A genre of electronic dance music originating in Angola, characterized by its fast tempo, heavy bass, and percussive rhythms, often featuring samples of traditional African music and instruments.
Ding	A short, sharp, metallic sound often produced by a bell or a mallet striking a surface, classified under percussive sounds.
Oboe	A woodwind instrument with a distinctive, mellow, and expressive sound, often used in classical music, categorized under musical instruments.
Cluck	The rhythmic, low-pitched vocalizations produced by chickens, typically used for communication or warning, classified under animal vocalizations.
Rock and roll	A genre of music characterized by its strong, steady rhythm, electric guitars, and energetic vocals, often associated with youth culture and rebellion.
Clarinet	A woodwind instrument with a single reed and a distinctive, mellow sound, commonly used in classical and jazz music.
Electro	A genre of electronic dance music (EDM) characterized by its use of synthesizers, drum machines, and other electronic instruments, often associated with futuristic or sci-fi themes.
Rattle	A metallic sound produced by the vibration of small objects or particles, often used in percussion instruments or as a sound effect.
Tuning fork	A musical instrument consisting of two metal tines that produce a high-pitched sound when struck together, used for tuning other instruments or as a reference pitch.
Vibraphone	A percussion instrument that produces a wide range of pitches by striking metal bars with mallets, often used in jazz and contemporary music.
Turkey	'The distinctive, low-pitched vocalizations produced by turkeys, often characterized by their rhythmic, repetitive nature and unique timbre, belonging to the category of animal vocalizations.'
Theremin	'The eerie, ethereal sound produced by moving one's hands in proximity to two antennas, controlling pitch and volume, classified under electronic musical instruments.'
Chord	'The harmonious combination of three or more different musical notes played simultaneously, often used as a building block in music composition, belonging to the category of musical sounds.'
Brief tone	A short, simple melody or rhythm often used as a signal or alert, belonging to the category of musical sounds.
Noise music	A genre of music characterized by its use of unconventional sounds and noise, often produced through electronic means, classified under experimental music.
Wedding music	A selection of songs and melodies played during a wedding ceremony or reception, typically featuring a mix of traditional and contemporary music, categorized under special events or celebratory sounds.
Progressive rock	A genre of rock music characterized by its complex, intricate soundscapes and progressive elements, often featuring a wide range of instruments and sounds.
Bassoon	A woodwind instrument with a distinctive, resonant sound, typically played by blowing air through a reed and producing a rich, mellow tone.
Bugle	A brass instrument with a short, sharp sound, often used for ceremonial or military purposes, such as signaling the start of a parade or battle.
Scrape	The metallic sound produced by a tool or object moving against a surface, often accompanied by a grating or abrasive quality, classified under mechanical sounds.
Snort (horse)	The short, sharp sound produced by a horse when exhaling air through its nostrils, characterized by a high-pitched, nasal quality, belonging to the category of animal sounds.
Ukulele	The bright, twangy sound produced by a small, four-stringed instrument, often associated with Hawaiian or Latin American music, classified under musical instruments.
Rumble	A low, continuous rumbling sound, often associated with earthquakes or thunderstorms, classified under natural environmental sounds.
Plop	A short, sharp sound produced by the impact of an object falling into water or a soft surface, categorized as water-related sounds.
Sad music	A melancholic and somber musical composition, often characterized by slow tempo, minor key, and emotional expressiveness, classified under human-generated music sounds.
Snicker	A light, playful sound produced by the human vocal tract, often characterized by short bursts of sound and a high pitch, belonging to the category of human vocalizations or emotional expressions.
Trombone	A deep, resonant sound produced by a brass instrument with a telescoping slide mechanism, often used in jazz or classical music, categorized as musical instruments.
Musical note	A distinct pitch or frequency produced by a musical instrument or voice, often used in music composition and performance, classified under musical sounds.
Sitar	A stringed musical instrument from India, characterized by its long neck and distinctive resonance, often used in Indian classical music.
Grime music	A subgenre of electronic dance music originating in the UK, characterized by its heavy bass, fast tempo, and distorted, glitchy sounds.
Tender music	A genre of music characterized by its emotional intensity, often featuring slow tempos, gentle melodies, and expressive vocals, often associated with romantic or introspective themes.
Crowing, cock-a-doodle-doo	The loud, rhythmic vocalizations produced by crows, often used as a natural alarm or warning sound, belonging to the category of animal vocalizations.
Trap music	The aggressive, dissonant, and repetitive sound patterns often associated with hip hop and urban music, characterized by its use of distorted and manipulated sounds, belonging to the category of music-related sounds.
Singing bowl	The resonant, vibrating sound produced by a singing bowl, often used for meditation, relaxation, or healing purposes, belonging to the category of sound healing or spiritual sounds.
Horse	The sound produced by a horse's hooves as it gallops or trots, characterized by a rhythmic, percussive quality, belonging to the category of animal-related sounds.
Birthday music	The upbeat, celebratory music typically played at birthday parties, characterized by its tempo, melody, and instrumentation, belonging to the category of music-related sounds.
Pizzicato	The technique of playing a musical instrument by plucking or striking the strings with the fingers, producing a short, staccato sound, belonging to the category of musical instruments and techniques.
Rub	A soft, rhythmic sound produced by rubbing two surfaces together, often used in cooking or as a musical instrument.
Electronic organ	A musical instrument that produces sound through electronic means, typically featuring a keyboard and various sound sources.
Double bass	A large, stringed musical instrument with a deep, resonant sound, often used in orchestras or jazz music.
Sampler	An electronic device used to create and manipulate sounds, often used in music production.
Drum beat	A rhythmic pattern of percussive sounds produced by drums or other percussion instruments, often used in music and dance.
Creak	A low-pitched, metallic sound produced by the movement of metal parts, often associated with old or poorly maintained structures.
Soprano saxophone	A high-pitched woodwind instrument with a distinctive, bright, and airy sound, often used in jazz and classical music.
Sound effect	An artificial sound created using electronic or mechanical means, typically used in movies, video games, and other forms of media to enhance the audio experience.
Generic impact sounds	A category of sounds produced by the impact of objects on surfaces or other materials, characterized by sharp, short, and high-pitched noises, such as breaking glass or slamming doors.
Fizz	The crackling, effervescent sound produced by carbonated beverages or other sources of gas, often associated with celebrations or festive occasions.
UK garage	The genre of electronic dance music originating in the United Kingdom, characterized by its heavy basslines, fast tempo, and use of synthesizers and drum machines.
Pulse	A rhythmic, steady sound produced by the beating of a heart or other pulsating object, often characterized by its tempo and intensity, belonging to the category of biological sounds.
Hum	A continuous, low-frequency sound produced by the vibration of an object or the movement of air, often characterized by its intensity and white noise-like qualities, classified under environmental sounds.
Squish	A soft, compressive sound produced by the deformation of a material, such as a squashy toy or a wet sponge, characterized by its texture and intensity, categorized as physical sounds.
Tapping (guitar technique)	A rhythmic, percussive technique used in guitar playing, characterized by the rapid, alternating striking of the strings with the fingers or a plectrum, often used in rock and pop music.
Funny music	A genre of music characterized by its use of humor, often through irony, satire, or absurdity, and typically featuring lighthearted and playful melodies and lyrics.
Exciting music	A genre of music characterized by its intensity, energy, and emotional impact, often featuring fast tempos, loud dynamics, and powerful instrumentation, and typically used in action, adventure, or sports contexts.
Mandolin	A stringed musical instrument with a distinctive, twangy sound, often used in folk and pop music.
Timpani	A percussion instrument with a deep, resonant sound, played with mallets and used in orchestral music.
Salsa music	A lively, rhythmic dance music originating from Cuba and Puerto Rico, characterized by its syncopated beats and Latin American influences.
Steelpan	A percussion instrument made of steel sheets, producing a bright, resonant sound often used in Caribbean music.
Christmas music	A collection of songs and melodies associated with the holiday season, characterized by cheerful and uplifting tones.
Steel guitar, slide guitar	A stringed instrument with a long neck and a metal slide used to produce a distinctive, twangy sound, often associated with country and rock music.
Deformable shell	A type of shell that can change shape or form, often found in marine animals such as snails and octopuses.
Gobble	"The loud, sharp sound produced by a bird when it swallows food, often accompanied by a distinctive ""gobbling"" sound."
Funk carioca	A genre of Brazilian funk music characterized by its lively, upbeat rhythms and use of percussion instruments such as the surdo and tamborim.
Didgeridoo	A wind instrument traditionally made from hollowed-out eucalyptus trees, characterized by its distinctive, resonant sound often used in traditional Aboriginal Australian music.
Opera	A theatrical form of music and drama originating in Italy, characterized by its complex vocal and instrumental harmonies, dramatic storytelling, and elaborate sets and costumes.
Mellotron	An electronic instrument that simulates the sound of a variety of instruments, such as strings, woodwinds, and percussion, using a set of pre-recorded samples and a keyboard to control the playback.
Donkey, ass	A large, hoofed mammal with a distinctive braying sound, classified under animal-related sounds.
