class_name	dataset	base_description	context_aware_description	ontology_aware_description
Subway, metro, underground	AudioSet	The continuous, rhythmic sound of trains moving through a subway or metro system, characterized by its intensity and metallic qualities.	The rhythmic clanging of metal on metal, accompanied by the hum of engines and the occasional screeching of brakes, heard in subway systems, metros, or underground trains.	The continuous, rhythmic sound produced by trains moving through underground tunnels, characterized by its intensity and reverberation, belonging to the category of transportation-related sounds.
Aircraft	AudioSet	The sound of an aircraft engine, characterized by its steady, rhythmic hum and occasional bursts of noise from takeoff and landing.	The roaring, rhythmic sound produced by aircraft engines, often heard in the vicinity of airports or during flights.	The continuous, humming sound produced by aircraft engines, often accompanied by the occasional roar or buzz of turbines, classified under transportation-related sounds.
Aircraft engine	AudioSet	A mechanical device that produces a high-pitched, whirring sound, used to power aircraft. The sound of an aircraft engine is often accompanied by a steady hum or buzz, and can vary in intensity depending on the speed and altitude of the aircraft.	A powerful, rhythmic sound generated by the combustion of fuel in an aircraft engine, often heard in airports or during flights, signifying the aircraft's presence and operation.	The continuous, rhythmic sound produced by the engines of an aircraft, characterized by its intensity and white noise-like qualities, belonging to the category of transportation-related sounds.
Jet engine	AudioSet	A type of internal combustion engine used in aircraft, characterized by a loud, continuous roar.	A powerful, rhythmic sound produced by the rapid expansion of air in a jet engine, characterized by its high-pitched, pulsating nature. Often heard in airports, near highways, or during air travel.	A loud, continuous, and rhythmic sound produced by the combustion of fuel in a jet aircraft engine, often characterized by its high-pitched and pulsating qualities, belonging to the category of transportation-related sounds.
Propeller, airscrew	AudioSet	The continuous, whirring sound produced by the rotation of a propeller or airscrew, often heard in aircraft or helicopters.	A mechanical device used for generating lift and propulsion in aircraft, characterized by its rotating blades or fans.	The mechanical device used to generate lift and propel an aircraft, characterized by a rotating blade or blades, classified under transportation-related sounds.
Helicopter	AudioSet	A rotorcraft with a rotating propeller, producing a continuous, rhythmic sound characterized by its pitch and intensity.	The steady, rhythmic hum of a helicopter, characterized by its rotor blades and engine, often heard in urban or rural areas with helicopter activity.	The continuous, whirring sound produced by the rotors of a helicopter, often characterized by its intensity and mechanical qualities, classified under transportation-related sounds.
Fixed-wing aircraft, airplane	AudioSet	A type of aircraft with wings that are fixed in place and move in a forward direction through the air, often used for transportation.	The steady, rhythmic hum or buzz generated by the engines of a fixed-wing aircraft, often accompanied by the sound of flaps or landing gear, typically heard during takeoff, landing, or flight.	The steady, humming sound produced by the engines of a fixed-wing aircraft, often characterized by a low-frequency rumble and occasional vibrations.
Bicycle	AudioSet	The steady, rhythmic sound produced by the turning of a bicycle's wheels, often accompanied by the occasional clinking of the chain.	A two-wheeled vehicle propelled by pedaling, characterized by the rhythmic clacking of the chain and the occasional scraping of the brake pads on the rim.	A two-wheeled vehicle powered by human effort, characterized by the sound of pedaling and the occasional scraping of the brakes against the road surface.
Skateboard	AudioSet	A board with wheels on which a person can perform tricks and maneuvers while moving on a smooth surface	A board with wheels, designed for riding on ramps and smooth surfaces, producing a distinctive clicking or grinding sound as the wheels interact with the surface, commonly heard in skate parks or urban environments.	The sharp, high-pitched sound produced by the wheels of a skateboard grinding against a surface, often accompanied by the occasional pop or crackle sound, categorized as human activities or movement sounds.
Engine	AudioSet	A mechanical device that converts chemical energy into mechanical energy, characterized by its humming, roaring, or buzzing sound.	A mechanical device that converts fuel into mechanical energy, characterized by its rhythmic, pulsating sound, often heard in vehicles or industrial settings.	The mechanical noise produced by the internal combustion or electric motor of a vehicle or machine, typically characterized by its rhythmic pattern and intensity, classified under transportation-related sounds.
Light engine (high frequency)	AudioSet	A high-frequency sound produced by a light engine, characterized by its rapid, pulsating nature and a distinct pitch.	An engine designed to operate at high frequencies, typically used in radio communication or radar systems. The sound produced is a high-pitched whine or buzz, often heard when the engine is in operation.	A high-pitched, continuous sound produced by the engine of a light aircraft or helicopter, often used for communication or navigation.
Dental drill, dentist's drill	AudioSet	A handheld tool used by dentists to remove tooth enamel and fillings, characterized by a high-pitched, whirring sound.	A handheld tool used by dentists to remove tooth enamel, fillings, or other dental materials. Characterized by a high-pitched, whirring sound.	The high-pitched, whirring sound produced by a dental drill, often accompanied by a buzzing or humming noise, classified under medical or dental-related sounds.
Lawn mower	AudioSet	The continuous, rhythmic sound produced by the blades of a lawn mower cutting grass, characterized by a low hum and occasional clipping sounds.	A mechanical device used for cutting grass, characterized by a rhythmic, metallic sound produced by the blades rotating against the grass. Typically heard in suburban or rural areas during lawn maintenance.	The rhythmic, humming sound produced by a lawn mower as it cuts grass, characterized by its repetitive pattern and mechanical nature, categorized as machinery-related sounds.
Chainsaw	AudioSet	A power saw with a long, rotating blade enclosed in a chain, used for cutting through wood and other materials.	The powerful, high-pitched roar of a chainsaw, characterized by its rapid, rhythmic cutting action. Often heard in construction sites, forests, or agricultural settings, where trees or vegetation are being cut or trimmed.	The loud, buzzing sound produced by a chainsaw with a rotating blade, used for cutting through wood or other materials, characterized by its rhythmic pattern and high-pitched vibration.
Medium engine (mid frequency)	AudioSet	A medium engine produces a sound characterized by a mid-range frequency, often described as a rumble or growl.	A steady, rhythmic hum or buzz produced by a medium-sized internal combustion engine, typically heard in vehicles or machinery.	The sound of a medium-sized engine operating at a mid-frequency range, often characterized by a steady hum or buzz, with occasional vibrations or rattles.
Heavy engine (low frequency)	AudioSet	A low-frequency sound produced by a heavy engine, characterized by its deep rumble and vibration.	A deep, rumbling sound produced by a large vehicle or industrial machinery, characterized by its low frequency and vibrating nature. Often heard in urban areas near highways or industrial zones.	A large, powerful engine with a low frequency sound, often characterized by a deep rumble or growl, commonly found in heavy machinery, vehicles, or aircraft.
Engine knocking	AudioSet	A rhythmic, metallic sound produced by the rapid expansion and contraction of an internal combustion engine.	A rhythmic, metallic sound produced by the internal combustion of an engine, characterized by a series of short, sharp taps or clicks, often heard in vehicles or machinery.	The rhythmic, metallic sound produced by the combustion of fuel in an internal combustion engine, often indicating a problem with the engine or fuel system.
Engine starting	AudioSet	The sound produced by an engine when it is started, characterized by a loud, rumbling noise that gradually fades into a steady hum.	The distinct, rumbling sound produced by an internal combustion engine as it ignites and begins to operate, often heard in urban or industrial settings.	The sound produced by the ignition and combustion of fuel in an engine, typically characterized by a loud, rhythmic noise.
Idling	AudioSet	The sound of an engine or machine that is running at a low speed or not in use, characterized by a steady, low hum.	The sound of an engine running at low speed, typically heard when a vehicle is parked or warming up. The sound is characterized by a steady, rhythmic hum or buzz.	The sound of an engine or machine running at a low speed or in idle mode, characterized by a steady, low hum.
Accelerating, revving, vroom	AudioSet	The sound of an engine revving up or accelerating, characterized by a high-pitched, rhythmic noise.	The sound of an engine revving up or accelerating, characterized by a rhythmic, high-pitched noise. Often heard in cars, motorcycles, or other vehicles as they gain speed.	The sound of an engine accelerating, characterized by a rising pitch and rhythmic revving noise, often associated with vehicles.
Door	AudioSet	The creaking or clicking sound produced by the opening and closing of a door, often accompanied by a slight rustling of the hinges.	A wooden or metal object with a hinged frame, designed to open and close to provide access to a room or space. Typically heard when it is opened or closed, producing a creaking or squeaking sound.	The sound of a door opening or closing, characterized by a distinct click or creak, often accompanied by other sounds such as footsteps or voices, classified as household sounds or objects.
Doorbell	AudioSet	A ringing or dinging sound produced by a doorbell, often accompanied by a chime or melody.	A metallic, ringing sound produced by a doorbell, typically heard at the entrance of a house or building, signaling someone's arrival.	A device that produces a ringing or dinging sound when pressed, used to announce someone's arrival or to signal a change in the room's occupancy, categorized under household sounds.
Ding-dong	AudioSet	A ringing sound produced by a doorbell, characterized by a series of short, high-pitched notes.	A short, metallic sound produced by a doorbell, typically heard in residential or commercial settings.	A short, metallic sound produced by a bell or a chime, often used to signal or announce something.
Sliding door	AudioSet	The sound produced by the movement of a sliding door, characterized by its smooth, gliding motion and a soft, metallic sound.	The smooth, metallic sound produced by a sliding door as it opens or closes, often heard in public spaces like airports, train stations, or shopping centers. Context: Typically occurs when a sliding door is being operated.	A metallic sound produced by the movement of a sliding door, characterized by a smooth, continuous glide and occasional clicks or scrapes.
Slam	AudioSet	The loud, sharp sound produced by a heavy object hitting a hard surface, characterized by its short duration and high intensity.	A loud, sharp, and sudden sound created by the impact of an object hitting a hard surface, often accompanied by a resonant echo.	A loud, sharp sound produced by a heavy object hitting a hard surface, often accompanied by a reverberation effect, classified under impact sounds.
Knock	AudioSet	A sharp, rhythmic sound produced by a person tapping on a surface, typically to get someone's attention.	A rhythmic, sharp sound created by striking a surface with the back of the hand, typically used to signal someone's presence, request, or warning, often heard in residential or commercial settings.	A rhythmic, sharp sound produced by striking a surface with a hand or other object, often used to signal or announce something.
Tap	AudioSet	A short, sharp sound produced by striking a hard surface with a small object, such as a hammer or a finger.	A short, sharp sound produced by striking a hard surface with a tool or object, typically heard in construction sites, workshops, or when assembling furniture.	A short, sharp sound produced by striking a hard surface with a small object, often used to signal or indicate something.
Squeak	AudioSet	A short, high-pitched sound produced by the friction of two surfaces or the movement of a small object.	A short, high-pitched sound produced by the movement of metal against metal or other materials, often heard in door hinges, floorboards, or other mechanical components. Typically associated with older or poorly maintained objects.	The short, high-pitched sound produced by the friction of two surfaces in contact, often associated with mechanical or mechanical-related sounds.
Cupboard open or close	AudioSet	The sound of a cupboard door opening or closing, characterized by a distinct click or clang.	The distinct, sharp sound of a cupboard door opening or closing, typically heard in kitchens or living spaces, signaling the access or closure of storage containers.	The sound of a cupboard door opening or closing, characterized by a distinct click or clangor, often accompanied by a slight creaking sound, belonging to the category of household sounds.
Drawer open or close	AudioSet	The sound of a drawer opening or closing, characterized by a sharp, metallic clangor or a soft, wooden creak.	The sound of a drawer opening or closing, characterized by a metallic clang or a soft thud, depending on the type of drawer and its contents. Typically heard in kitchens, bathrooms, or offices, when someone is accessing items stored in a drawer.	The sound of a drawer opening or closing, characterized by a sharp, metallic clang or a soft, creaking noise, categorized as household sounds.
Dishes, pots, and pans	AudioSet	The sound of dishes, pots, and pans being washed, characterized by the clinking and clattering of metal against metal.	The clanging, clattering, and ringing sounds produced by dishes, pots, and pans when they are struck or scraped against each other, typically heard in kitchens or dining areas.	The clanging and clattering sounds produced by metal dishes, pots, and pans being struck or scraped against each other, typically associated with kitchen or culinary sounds.
Cutlery, silverware	AudioSet	A set of metal utensils used for eating and serving food, typically consisting of a fork, knife, spoon, and sometimes a ladle or serving fork.	A collection of metal or silver utensils designed for eating and serving food, characterized by their distinct shapes, sizes, and textures, often heard clinking or scraping against dishes during meals.	The clinking and clattering sounds produced by metal cutlery and silverware when struck together, often used to signal the start of a meal or to draw attention, classified under kitchen or culinary sounds.
Chopping (food)	AudioSet	The sound produced by the rapid, repetitive motion of a knife or cutting tool against food, characterized by short, sharp bursts of sound often accompanied by the sound of food being cut and the clinking of utensils.	The rhythmic sound produced by cutting food with a knife or chopping board, characterized by variations in speed and intensity.	The sound produced by cutting food with a knife or other sharp object, characterized by short, sharp noises and varying in intensity and rhythm depending on the type of food and the cutting technique.
Frying (food)	AudioSet	The sizzling sound produced by food cooking, characterized by rapid, popping noises.	The distinct sizzling and popping sound emitted when food is being cooked in hot oil or on a heated surface. Typically heard in kitchens or cooking areas, signaling the process of frying.	The sizzling sound produced by food cooking, characterized by rapid, popping noises, typically associated with kitchen or culinary sounds.
Microwave oven	AudioSet	"An electronic device that produces a high-frequency, pulsating sound, often described as a ""beep"" or ""ping"", when in operation."	An electronic device used for cooking or heating food, characterized by its beeping or humming sound, often heard in kitchens or dining areas.	The beeping sound produced by a microwave oven when it is in use, often accompanied by a humming noise, classified under kitchen appliances.
Blender	AudioSet	A kitchen appliance used for blending, mixing, and pureeing food ingredients, characterized by its whirring and grinding sounds.	The loud, whirring sound produced by a blender, often heard in kitchens or food preparation areas, signaling the blending of ingredients.	The whirring sound produced by a blender while blending ingredients, often characterized by its high-pitched, rhythmic noise.
Water tap, faucet	AudioSet	The sound of water flowing from a faucet, characterized by its steady, rhythmic flow and occasional splashing.	The rhythmic sound produced by water flowing through a faucet, typically heard in kitchens or bathrooms.	The continuous, rhythmic sound of water flowing from a faucet, often characterized by its pitch and intensity, belonging to the category of household appliances.
Sink (filling or washing)	AudioSet	The sound produced by water filling or washing a sink, characterized by a steady, rhythmic splashing.	A basin with a drainage system, used for washing dishes, clothes, or other items. Typically made of porcelain, stainless steel, or cast iron, and equipped with faucets for filling and draining. Often found in kitchens or laundry rooms.	The sound of water filling or washing a sink, characterized by its rhythmic splashing and gurgling, often accompanied by the sound of water flowing in and out of the sink, categorized as household sounds.
Bathtub (filling or washing)	AudioSet	A large, shallow basin with a drainage hole, used for bathing or washing oneself. The sound of water filling or washing in the bathtub is characterized by its steady, splashing rhythm.	The sound of water filling or washing in a bathtub, characterized by a steady, rhythmic flow and splashing. Typically heard in bathrooms, often during bathing or cleaning the tub.	The sound of water filling or washing a bathtub, characterized by its rhythmic splashing and gurgling.
Hair dryer	AudioSet	The sound of a hair dryer, characterized by a high-pitched, whirring noise and occasional bursts of hot air.	The high-pitched, whirring sound generated by a hair dryer when it is in use, typically heard in bathrooms or hair salons.	The humming, high-pitched sound produced by a hair dryer, often characterized by its intensity and white noise-like qualities, classified under household appliances.
Toilet flush	AudioSet	The sound of water rushing out of a toilet bowl, characterized by a continuous, swishing noise.	A short, rhythmic sound produced by the movement of water through a toilet bowl, typically heard in bathrooms.	The sound produced by the flushing of a toilet, characterized by a rapid, swirling noise, often accompanied by the sound of water rushing and splashing, classified under plumbing-related sounds.
Toothbrush	AudioSet	A small handheld device used for cleaning teeth, characterized by a bristled head and a handle, producing a soft, bristly sound when used.	The soft, bristly sound produced when a toothbrush is used to clean teeth, typically heard in bathrooms or dental offices.	The sound produced by the bristles of a toothbrush as they are moved against teeth and gums, often characterized by a soft, brushing sound, categorized as household sounds.
Electric toothbrush	AudioSet	An oral hygiene device that uses an electric motor to vibrate bristles and remove plaque and debris from teeth, often heard while in use.	The vibrating, humming sound produced by an electric toothbrush while in use, often heard in bathrooms or kitchens.	The vibrating, humming sound produced by an electric toothbrush, characterized by its intensity and rhythm, used for oral hygiene.
Vacuum cleaner	AudioSet	A sound produced by the suction and airflow of a vacuum cleaner, characterized by its rhythmic, high-pitched noise.	A cleaning device that uses suction to remove dirt and debris from floors, carpets, and other surfaces. The sound produced is characterized by a rhythmic, low-pitched hum, often heard when the machine is in operation.	The sound produced by a vacuum cleaner, characterized by its suction and movement, often used for cleaning floors and carpets.
Zipper (clothing)	AudioSet	The sound of a zipper being pulled or released, characterized by a smooth, metallic glide or a rough, plastic friction.	The metallic or plastic fastener used to close or open garments, characterized by a distinctive, sharp sound when opened or closed, typically heard in clothing stores, fashion shows, or daily life.	The sound of a zipper being pulled or released, characterized by a distinct snap or pop, often accompanied by a slight rustling sound, belonging to the category of clothing-related sounds.
Keys jangling	AudioSet	The sound of metal keys clinking together, often produced by opening and closing a door or cabinet.	A metallic, jingling sound produced by the movement of keys on a lock or keyring, often heard in residential or commercial settings. Can also be associated with the opening or closing of doors or drawers.	The metallic clinking sound produced by keys as they are moved or manipulated, often associated with doors or drawers.
Coin (dropping)	AudioSet	The metallic clinking sound produced when a coin lands on a hard surface.	The metallic clang or ringing sound produced when a coin lands on a hard surface, such as a countertop or floor. Often heard in retail settings, like coin-operated machines or cash registers, or in everyday life when coins are dropped.	The sharp, metallic sound produced when a coin lands on a hard surface, often accompanied by a slight echo, categorized as everyday sounds.
Scissors	AudioSet	The sound of metal blades cutting through fabric or paper, characterized by a sharp, metallic noise.	A cutting tool with two sharp blades that move in opposite directions when opened and closed, typically used for cutting paper, fabric, or other materials. The sound of scissors cutting is characterized by a sharp, metallic snip or clip.	The cutting sound produced by the blades of scissors as they cut through materials, often accompanied by a snipping or clicking sound.
Electric shaver, electric razor	AudioSet	A device that produces a high-pitched, buzzing sound while cutting hair or facial hair.	An electric grooming device used for shaving facial or body hair, producing a high-pitched, vibrating sound. Often used in bathrooms or grooming rooms, and associated with personal hygiene and grooming routines.	The humming or buzzing sound produced by an electric shaver or razor, often characterized by its intensity and rhythm, belonging to the category of personal grooming and household appliances.
Shuffling cards	AudioSet	The sound of cards being shuffled together, characterized by their rustling and the occasional snap of the cards.	The sound of cards being shuffled, characterized by a rhythmic, soft rustling noise, often heard in casinos, card games, or card shops.	The soft, rustling sound produced by shuffling a deck of cards, often accompanied by the occasional snap or click, categorized as human activities or movement sounds.
Typing	AudioSet	The rhythmic, repetitive sound produced by the impact of fingers on a keyboard while typing.	The rhythmic, repetitive sound produced by the impact of fingers on a keyboard or typewriter, often heard in offices, schools, or homes. Context: Typically occurs when someone is typing on a computer or typewriter.	The rhythmic, repetitive sounds produced by the impact of fingers on a keyboard while typing, characterized by distinct patterns and pitches, classified as human activities or computer-related sounds.
Typewriter	AudioSet	The rhythmic, mechanical sound produced by the movement of keys on a typewriter, characterized by a distinct clicking and clacking noise.	A mechanical device that produces text by striking a series of keys, generating a distinct, rhythmic, and tactile sound, often associated with the era of manual typewriting, heard in libraries, writing rooms, or offices.	The rhythmic, mechanical clicking sound produced by a typewriter as it types letters, often associated with the sound of paper being fed into the machine.
Computer keyboard	AudioSet	A set of keys on a computer that produce sounds when pressed, often accompanied by visual feedback on a screen.	A mechanical device with keys that produce distinct tactile and auditory feedback when pressed, often used for inputting text and commands into a computer.	A mechanical device used for inputting text and numbers into a computer, characterized by the distinct clicking sound produced by each key press.
Writing	AudioSet	The sound of a pen or pencil scratching against paper, characterized by a rhythmic, repetitive pattern.	The sound of a pen or pencil scratching against paper, accompanied by the occasional click of the pen cap or the rustle of pages. Often heard in quiet study or writing environments.	The scratchy, rhythmic sounds produced by writing with a pen or pencil on paper, characterized by distinct strokes and pressure, categorized as human activities or writing-related sounds.
Alarm	AudioSet	The loud, high-pitched sound produced by an alarm, often accompanied by a pulsing or beeping noise.	A high-pitched, electronic sound designed to alert people of danger or potential hazard, often heard in residential or commercial settings, such as smoke detectors, car alarms, or security systems.	A loud, high-pitched sound produced by an electronic device to signal danger or an emergency.
Telephone	AudioSet	A device that produces a high-pitched, metallic sound when someone speaks into it, and a low-pitched, metallic sound when someone listens to it.	A device used for communication through speech and sound, characterized by its ringing and dialing sounds. Typically heard in homes, offices, or public spaces.	The sound of a telephone ringing or a voice on the phone, characterized by its high-pitched, metallic quality and often associated with communication sounds.
Telephone bell ringing	AudioSet	A metallic, high-pitched sound produced by a telephone bell, often characterized by a rapid, alternating ringing pattern.	The sound produced by a telephone when it is ringing, characterized by a series of high-pitched tones or chimes, often accompanied by a low-pitched hum or buzz.	The sharp, metallic sound produced by the ringing of a telephone bell, often accompanied by a buzzing or clicking noise, categorized under communication-related sounds.
Ringtone	AudioSet	A melodic or rhythmic sound produced by a device to signal an incoming call, message, or notification, often characterized by a distinct melody or pattern.	A melodic or rhythmic electronic sound used to signal an incoming call, message, or notification on a mobile device.	The electronic sound produced by a mobile device to signal an incoming call or message, typically characterized by a distinct melody or pattern, belonging to the category of electronic sounds.
Telephone dialing, DTMF	AudioSet	The sound of a telephone keypad being dialed, characterized by a series of short, sharp tones.	The process of entering a phone number using a keypad with buttons, producing a series of distinct tones or beeps. Often heard in homes, offices, or public spaces when someone is making a phone call.	The sound of a telephone keypad being dialed using Dual Tone Multi-Frequency (DTMF) technology, characterized by a series of short, high-pitched beeps or tones.
Dial tone	AudioSet	The high-pitched sound produced by a telephone when a person dials a number.	The distinctive, high-pitched sound produced when a telephone is dialed, signaling the connection to the network.	A high-pitched, rhythmic sound produced by a telephone to indicate an incoming call or to connect to a network.
Busy signal	AudioSet	A type of electronic sound that is used to indicate that a device or system is busy or unavailable, often characterized by its high-pitched, pulsating quality.	A repetitive, high-pitched electronic sound indicating that a device is currently engaged in processing a request or is temporarily unavailable.	The sound of a busy signal, characterized by its high-pitched, pulsating, and repetitive tones, often accompanied by the sound of a computer or phone beeping or ringing.
Alarm clock	AudioSet	A device that produces a loud, repetitive sound to wake up people at a set time.	The loud, piercing sound produced by an alarm clock, often heard in homes or hotels. Context: Typically occurs at a set time to wake up the user.	The electronic sound produced by an alarm clock, typically a high-pitched, monotonous tone.
Siren	AudioSet	An electronic device that produces a loud, oscillating sound used for warning or alerting purposes, such as in emergency situations.	An alarm device that produces a loud, oscillating wail or whistle sound, used to signal danger, warning, or alert. The sound produced is characterized by its high pitch, rapid oscillations, and distinct pattern, often heard in emergency situations.	A loud, oscillating sound produced by a high-frequency generator, typically used for warning or alerting purposes, classified under warning or alarm sounds.
Civil defense siren	AudioSet	The loud, piercing sound produced by a civil defense siren, often accompanied by a high-pitched whistle or siren-like noise.	A loud, oscillating wail used to alert people of impending danger, typically heard during emergency situations like tornadoes or hurricanes.	The loud, continuous sound produced by a siren used for warning or alerting purposes, classified under emergency sounds.
Buzzer	AudioSet	A high-pitched, electronic sound produced by a device to alert or signal, often used in various contexts such as alarms or timers.	A high-pitched electronic sound used to signal an alarm, alert, or warning, typically heard in commercial or industrial settings.	A high-pitched, electronic sound produced by a device to alert or signal, often used in security systems or appliances, categorized under electronic sounds.
Smoke detector, smoke alarm	AudioSet	An electronic device that detects smoke particles in the air and sounds an alarm to alert people of a potential fire hazard.	Electronic devices designed to detect smoke particles and alert occupants of a building in case of a fire. The sound of a smoke detector or smoke alarm is typically a loud, piercing alarm that alerts people to evacuate the premises.	A device that produces a loud, high-pitched sound to alert people of a fire or smoke hazard, classified under safety-related sounds.
Fire alarm	AudioSet	A loud, piercing sound produced by a fire alarm system, often characterized by a high-pitched, oscillating tone.	The loud, piercing sound emitted by a fire alarm, signaling danger and urging evacuation, typically heard in public spaces like offices, schools, or residential buildings.	A loud, piercing sound produced by a fire alarm system, typically used to alert people of a fire emergency and to evacuate the premises.
Foghorn	AudioSet	A loud, continuous sound produced by a foghorn, often used to signal danger or warning.	The loud, resonant sound emitted by a foghorn, used to warn ships and boats of potential hazards or to signal their location, often heard in coastal areas or on ships.	The loud, continuous sound produced by a foghorn, often used to signal danger or warning, classified under transportation-related sounds.
Whistle	AudioSet	A high-pitched, continuous sound produced by blowing air through a narrow tube or cavity, often used as a signal or warning.	A high-pitched, continuous sound produced by blowing air through a small hole or narrow tube, often used for communication or signaling. Commonly heard in outdoor settings, such as parks or beaches, or in transportation settings, such as trains or ships.	A handheld musical instrument that produces sound by blowing air through a small hole, characterized by a high-pitched, piercing sound and a variety of notes.
Steam whistle	AudioSet	A musical instrument that produces a high-pitched, whistling sound, often used to signal or announce something.	A high-pitched, whistling sound produced by the release of steam from a boiler, commonly heard in industrial settings or on steamships.	A loud, penetrating sound produced by the steam or air whistle of a train, typically signaling its approach or departure, categorized as transportation-related sounds.
Mechanisms	AudioSet	The physical processes that produce sound, such as vibration, compression, and expansion.	The rhythmic, metallic clanking or grinding sounds produced by machinery, vehicles, or tools, often associated with industrial or mechanical settings.	The intricate systems and processes that govern the operation of machines, engines, or other mechanical devices, often characterized by their rhythmic, repetitive sounds.
Ratchet, pawl	AudioSet	A metallic sound produced by the movement of a ratchet and pawl mechanism, typically used in machinery or vehicles.	A metallic sound characterized by a sharp, clicking, and rhythmic sequence, often associated with mechanical devices like clocks or watches. Context: Typically heard in clock towers, watch shops, or industrial settings.	The metallic, clicking sound produced by a ratchet mechanism, often used in machinery or tools, classified under mechanical sounds or industrial sounds.
Clock	AudioSet	A steady, ticking sound produced by a clock mechanism, often accompanied by a soft, rhythmic chime on the hour.	The steady, rhythmic ticking of a clock, accompanied by the occasional chime, heard in various settings, such as homes, offices, or public spaces.	The steady, rhythmic ticking sound produced by a clock or other timekeeping device, often accompanied by a pendulum swinging back and forth.
Tick	AudioSet	A short, sharp sound produced by a mechanical device, such as a clock or a watch, often accompanied by a visual movement.	A short, sharp sound, typically heard in clocks or watches, produced by a mechanical mechanism.	The short, sharp sound produced by a small insect, often characterized by its high-pitched quality and rapid repetition, classified under insect sounds.
Tick-tock	AudioSet	The steady, rhythmic sound produced by a clock or other timekeeping device, characterized by a regular, alternating pattern of sound and silence.	A rhythmic, steady sound produced by a clock or other timekeeping device, characterized by a distinct ticking and tocking sound. Often heard in homes, offices, or public spaces where time is kept.	The rhythmic sound produced by a clock or timepiece, characterized by a steady, alternating pattern of sound and silence, classified under timekeeping sounds.
Gears	AudioSet	A metallic, grinding sound produced by the movement of teeth on teeth, often heard in machinery or vehicles.	A mechanical, grinding sound produced by the interaction of teeth on a rotating shaft, often heard in industrial settings or machinery. Can also be associated with the movement of vehicles or equipment.	The metallic grinding or whirring sound produced by the movement of gears, often heard in machinery or vehicles, categorized under mechanical sounds.
Pulleys	AudioSet	A mechanical device used to transmit power from one point to another by means of a pulley wheel and a cable, often used in lifting or pulling objects.	The rhythmic clanking or whirring sound produced by metal pulleys as they move and interact with other components, often heard in industrial settings or machinery.	The metallic clanging or whirring sound produced by the movement of pulleys, often used in machinery or construction.
Sewing machine	AudioSet	The rhythmic, repetitive sound produced by a sewing machine as it stitches fabric, characterized by a steady, mechanical quality.	A mechanical device used for sewing fabrics, characterized by its rhythmic, repetitive sound produced by the movement of the needle and thread through the fabric.	The rhythmic, mechanical sound produced by a sewing machine as it stitches fabric, characterized by its steady, repetitive pattern.
Mechanical fan	AudioSet	The steady, rhythmic sound produced by a mechanical fan as it rotates, often characterized by a low hum or buzz.	The steady, rhythmic sound of a mechanical fan, commonly heard in air-conditioned spaces, offices, or industrial settings.	A mechanical device that produces a steady, rhythmic sound when in operation, often used for cooling or ventilation.
Air conditioning	AudioSet	A low-pitched, rhythmic humming sound produced by an air conditioning unit, often accompanied by a faint clicking noise.	The continuous humming or whirring sound produced by an air conditioning unit, often heard in residential or commercial buildings during hot weather.	The continuous, rhythmic sound produced by an air conditioning unit, characterized by its low-pitched hum and occasional clicking or whirring noises, classified under man-made sounds.
Cash register	AudioSet	The sound of coins being inserted, removed, and counted, often accompanied by a paper receipt being printed.	The metallic clinking or ringing sound produced by the movement of coins or paper money through a cash register. Often heard in retail stores, restaurants, or other establishments that handle transactions.	The metallic clinking and ringing sounds produced by the movement of cash and coins in a register, often accompanied by paper rustling and drawer opening and closing sounds, classified under commercial sounds.
Printer	AudioSet	The sound produced by a printer, characterized by a rhythmic, clicking noise as paper is fed through the machine.	A mechanical device that produces printed documents on paper, characterized by rhythmic, repetitive sounds and occasional paper movement.	A rhythmic, mechanical sound produced by the movement of paper and ink cartridges in a printer, often accompanied by a paper feed sound and a low hum.
Camera	AudioSet	A device used to capture images and videos, often characterized by its shutter sound and lens clicking sound.	An electronic device used to capture images or videos. Often heard clicking or whirring when in use. Typically found in photography studios, newsrooms, or personal settings.	The sound produced by a camera, often characterized by a clicking or shuttering noise, belonging to the category of electronic devices and appliances.
Single-lens reflex camera	AudioSet	A type of camera that uses a single lens to capture images, typically used for photography and videography.	A type of camera that captures images by focusing light onto a single lens, which then reflects the image onto a light-sensitive surface. Often used for photography, particularly portrait and landscape photography.	A type of camera that captures images by focusing light onto a single lens, which then reflects the image onto a mirror and onto the film or digital sensor.
Tools	AudioSet	The sounds produced by various tools, such as hammers, saws, and drills, often characterized by their mechanical nature and repetitive patterns.	Metallic or wooden objects designed for specific tasks, characterized by distinct sounds when struck, scraped, or manipulated, often heard in workshops, construction sites, or crafting environments.	The sounds produced by various hand tools, such as hammers, saws, and drills, often characterized by their rhythmic, percussive nature, belonging to the category of human activities or machinery sounds.
Hammer	AudioSet	A percussive tool with a flat, striking surface and a handle, used for driving nails into wood or other materials.	A percussive tool with a flat, weighted head used for driving nails or breaking objects. Characterized by a sharp, metallic sound when striking a surface. Often heard in construction sites, workshops, or DIY projects.	The sound produced by striking a metal object with a hammer, characterized by a sharp, metallic ring.
